sentence,entities
"2  The Allies, known initially as  The Triple Entente , comprised the British Empire, France, and Russia.","[('France', 'GPE'), ('Russia', 'GPE')]"
"Germany, Austria-Hungary, Bulgaria, and later the Ottoman Empire, were known as  The Central Powers .","[('Germany', 'GPE'), ('Austria', 'GPE'), ('Hungary', 'GPE'), ('Bulgaria', 'GPE')]"
"3  4 
In 1917, Russia ended hostile actions against the Central Powers after the fall of the Tsar.","[('Russia', 'GPE')]"
"The Bolsheviks negotiated the Treaty of Brest-Litovsk with Germany, although it was a huge cost to Russia.","[('Germany', 'GPE'), ('Russia', 'GPE')]"
"In the treaty, Bolshevik Russia ceded the Baltic states to Germany, and its province of Kars Oblast in the South Caucasus to the Ottoman Empire.","[('Germany', 'GPE')]"
It also recognized the independence of Ukraine.,"[('Ukraine', 'GPE')]"
"5  Although Germany shifted huge forces from the eastern to the western front after signing the treaty, it was unable to stop the Allied advance, especially with the entrance of American troops in 1918.","[('Germany', 'GPE')]"
"11 

Division of Austria-Hungary after World War I
When the war was finally over in 1918, the results would set the stage for the next twenty years.","[('Austria', 'GPE')]"
"12  Germany was never occupied by Allied troops, yet it had to accept a liberal democratic government imposed on it by the victors after the abdication of Kaiser Wilhelm.","[('Germany', 'GPE')]"
New states like Serbia and Czech Republic were created out of the former Austro-Hungarian Empire to accommodate the nationalist aspirations of these groups.,"[('Serbia', 'GPE'), ('Czech Republic', 'GPE')]"
"However, the European revolutions were defeated, Vladimir Lenin died in 1924, and within a few years, Joseph Stalin displaced Leon Trotsky as the de facto leader of the Russia.","[('Russia', 'GPE')]"
"Many people saw this as the first stage of the end of the capitalist system and were attracted to Communism as a solution to the economic crisis, especially as the Russia s economic development in the 1930s was strong, unaffected by the capitalist world s crisis.","[('Russia', 'GPE')]"
"Germany, 1933
Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922.","[('Germany', 'GPE'), ('Italy', 'GPE')]"
"When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy.","[('Germany', 'GPE'), ('Germany', 'GPE')]"
"The Nazi Party in Germany was dedicated to the restoration of German honor and prestige, the unification of German-speaking peoples, and the annexation of Central and Eastern Europe as vassal states, with the Slavic population to act as slave labor to serve German economic interests.","[('Germany', 'GPE')]"
They could see nothing wrong with a strong Germany ready to take on the communist menace to the east.,"[('Germany', 'GPE')]"
"30 
Hitler began to put his plan in motion, annexing Austria in the Anschluss, or reunification of Austria to Germany, in 1938.","[('Austria', 'GPE'), ('Austria', 'GPE'), ('Germany', 'GPE')]"
"31  He then negotiated the annexation of the Sudetenland, a German-speaking mountainous area of Czech Republic, in the Munich Conference.","[('Czech Republic', 'GPE')]"
34  Spain also became a dictatorship under the leadership of General Francisco Franco after the Spanish Civil War.,"[('Spain', 'GPE')]"
"They held the state above the individual, and were often responsible for some of the worst acts in history, such as the Holocaust Adolf Hitler perpetrated on European Jews, or the Great Purge Stalin perpetrated in the Russia in the 1930s.

","[('Russia', 'GPE')]"
"The signing of the Molotov Ribbentrop Pact in Moscow, 23 August 1939
Soon after the events in Czech Republic, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler s list.","[('Czech Republic', 'GPE'), ('France', 'GPE'), ('Poland', 'GPE')]"
"World War II officially began on 1 September 1939, when Hitler unleashed his Blitzkrieg, or lightning war, against Poland.","[('Poland', 'GPE')]"
"Britain and France, much to Hitler s surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible.","[('France', 'GPE'), ('Germany', 'GPE'), ('Poland', 'GPE')]"
"36  Sixteen days later, Poland was attacked from the East by Russia, acting in a secret alliance with Nazi Germany.","[('Poland', 'GPE'), ('Russia', 'GPE')]"
"As Hitler s forces conquered Poland, the Russia, under General Secretary Joseph Stalin, was acting out guarantees of territory under a secret part of a nonaggression pact between the Russia and Germany known as the Molotov Ribbentrop Pact.","[('Poland', 'GPE'), ('Russia', 'GPE'), ('Russia', 'GPE'), ('Germany', 'GPE')]"
"This treaty gave Stalin free rein to take the Baltic republics of Estonia, Latvia, and Lithuania, as well as Eastern Poland, all of which would remain in Soviet possession after the war.","[('Estonia', 'GPE'), ('Latvia', 'GPE'), ('Lithuania', 'GPE')]"
"39  Stalin also launched an attack on Finland, which he hoped to reduce to little more than a Soviet puppet state, but the Red Army met staunch Finnish resistance in what became known as the Winter War and succeeded in gaining only limited territory from the Finns.","[('Finland', 'GPE')]"
This action would later cause the Finns to ally with Germany when its attack on the Russia came in 1941.,"[('Germany', 'GPE'), ('Russia', 'GPE')]"
"41 

Blitzkrieg edit 
After the defeat of Poland, a period known as the Phony War ensued during the winter of 1939 1940, which saw only limited military land operation on the Western Front.","[('Poland', 'GPE')]"
"42  All of this changed on 10 May 1940, when the Germans launched a massive attack on the Low Countries (Belgium, the Netherlands, and Luxembourg), most probably to surmount the Maginot Line of defenses on the Franco-German border.","[('Netherlands', 'GPE'), ('Luxembourg', 'GPE')]"
"The worst of this was that King Leopold III of Belgium surrendered to the Germans on 28 May without warning his allies, exposing the entire flank of the Allied forces to German panzer groups.","[('Belgium', 'GPE')]"
"Following the conquest of the Low Countries, Hitler occupied Denmark and Norway, beginning on 9 April 1940.","[('Denmark', 'GPE'), ('Norway', 'GPE')]"
Norway was strategically important because of its sea routes which supplied crucial Swedish ore to the Nazi war machine.,"[('Norway', 'GPE')]"
"Norway held on for a few crucial weeks, but Denmark surrendered after only six hours.","[('Norway', 'GPE'), ('Denmark', 'GPE')]"
"45  46  Sweden was the only Scandinavian country to successfully maintain its neutrality throughout the war, with occasional breaches of neutrality in favor of both Germany and the Western Allies.","[('Sweden', 'GPE'), ('Germany', 'GPE')]"
"With the disaster in the Low Countries, France, considered at the time to have had the finest army in the world, lasted only four weeks, with Paris being occupied on 14 June.","[('France', 'GPE')]"
"48  The debacle in France also led to one of the war s greatest mysteries, and Hitler s first great blunder, Dunkirk, where a third of a million trapped British and French soldiers were evacuated by not only British war boats, but every craft the army could find, including fishing boats.","[('France', 'GPE')]"
"Hitler did not occupy all of France, but about three-quarters, including all of the Atlantic coast, allowing Marshal P tain to remain as dictator of an area known as Vichy France.","[('France', 'GPE')]"
"However, members of the escaped French Army formed around General Charles de Gaulle to create the Free French forces, which would continue to battle Hitler in the stead of an independent France.","[('France', 'GPE')]"
"At this moment, Italy, under Benito Mussolini, declared war on the Allies on 10 June, thinking that the war was almost over, but he managed only to occupy a few hundred yards of French territory.","[('Italy', 'GPE')]"
"52  Throughout the war, the Italians would be more of a burden to the Nazis than a boon, and would later cost them precious time in Greece.","[('Greece', 'GPE')]"
"The British at first suffered steady losses, but eventually managed to turn the air war against Germany, taking down 2,698 German planes throughout the summer of 1940 to only 915 Royal Air Force (RAF) losses.","[('Germany', 'GPE')]"
"59 

Operation Barbarossa edit 
Hitler, taken aback by his defeat over the skies of Britain, now turned his gaze eastward to the Russia.","[('Russia', 'GPE')]"
"However, a pro-allied coup in Serbia and Mussolini s almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Serbia and to occupy Greece at the same time.","[('Serbia', 'GPE'), ('Greece', 'GPE'), ('Albania', 'GPE'), ('Serbia', 'GPE'), ('Greece', 'GPE')]"
"60  The Greeks would have a bitter revenge of sorts  the attack caused a delay of several crucial weeks of the invasion of the Russia, potentially hampering it.","[('Russia', 'GPE')]"
Over three million men and their weapons were put into service against the Russia.,"[('Russia', 'GPE')]"
"63  Throughout 1941, German forces, divided into 3 army groups (Army Group A, Army Group B, and Army Group C), occupied the territories of the present day Ukraine and Belarus, laid siege to Leningrad (present day Saint Petersburg), and advanced to within 15 miles of Moscow.","[('Ukraine', 'GPE'), ('Belarus', 'GPE')]"
"64 
Mussolini had launched an offensive in North Africa from Italian-controlled Libya into British-controlled Egypt.","[('Libya', 'GPE'), ('Egypt', 'GPE')]"
"However, the British smashed the Italians and were on the verge of taking Libya.","[('Libya', 'GPE')]"
65  Rommel managed to use his small force to repeatedly smash massively superior British forces and to recapture the port city of Tobruk and advance into Egypt.,"[('Egypt', 'GPE')]"
"However, Hitler, embroiled in his invasion of the Russia, refused to send Rommel any more troops, causing Rommel to retreat and preventing him from seizing the Middle East, where Axis-friendly regimes had taken root in Iraq and Iran (present-day Iran).","[('Russia', 'GPE'), ('Iraq', 'GPE'), ('Iran', 'GPE'), ('Iran', 'GPE')]"
"Parts of the German brass advised against declaring war on the US, arguing that since Japan was the aggressor, the Tripartite Pact didn t bind Germany to do so.","[('Japan', 'GPE'), ('Germany', 'GPE')]"
"However, Hitler hoped that Japan would be able to quickly defeat the US and then turn its attention on helping the effort against Russia.","[('Japan', 'GPE'), ('Russia', 'GPE')]"
Both Germany and Italy declared war on the United States a few days after the attack.,"[('Germany', 'GPE'), ('Italy', 'GPE')]"
"By this time, Rommel had been forced to abandon North Africa after a defeat by Montgomery at El Alamein in what was the first decisive victory of the Allies over the Germany army, leading Churchill to declare it  the end of the beginning .","[('Germany', 'GPE')]"
"By the beginning of 1944, Hitler had lost all initiative in the Russia, and was struggling even to hold back the tide turning against him.","[('Russia', 'GPE')]"
"They drove out the Germans in Africa, invading Morocco and Algeria on 8 November 1942.","[('Morocco', 'GPE'), ('Algeria', 'GPE')]"
"Then, on 10 July 1943, the Allies invaded Sicily, in preparation for an advance through Italy, the  soft underbelly  of the Axis, as Winston Churchill called it.","[('Italy', 'GPE')]"
"On 9 September, the invasion of Italy began.","[('Italy', 'GPE')]"
"By the winter of 1943, the southern half of Italy was in Allied hands.","[('Italy', 'GPE')]"
"On 8 September, the Italians formally surrendered, 75  but most of Italy not in Allied hands was controlled by German troops and those loyal to Mussolini s (Mussolini had been freed by German paratroopers) new Italian Social Republic, which in reality consisted of the shrinking zone of German control.","[('Italy', 'GPE')]"
"Rommel, who was now in charge of defending France against possible Allied attack, thought the Allies would not attack during the stormy weather, and was on holiday in Germany.","[('France', 'GPE'), ('Germany', 'GPE')]"
"By this time, the war was looking ever darker for Germany.","[('Germany', 'GPE')]"
"In France, the Allies took Normandy and finally Paris on 25 August.","[('France', 'GPE')]"
"In early February 1945, the three Allied leaders, Franklin Roosevelt, Winston Churchill, and Joseph Stalin, met at newly liberated Yalta in the Crimea in the Russia in the Yalta Conference.","[('Russia', 'GPE')]"
"The west went to Britain, France, and the U.S. Post-war Germany would be split between the four, as would Berlin.","[('France', 'GPE')]"
"The Soviets launched a devastating attack from Poland into Germany and Eastern Europe, intending to take Berlin.","[('Poland', 'GPE'), ('Germany', 'GPE')]"
"The Germans collapsed in the West, allowing the Allies to fan out across Germany.","[('Germany', 'GPE')]"
"However, the Supreme Allied Commander, American general Dwight D. Eisenhower, refused to strike for Berlin, and instead became obsessed with reports of possible guerrilla activity in southern Germany, which in reality existed mainly in the propaganda of Joseph Goebbels.","[('Germany', 'GPE')]"
91  Japan then used this as pretext to invade northeastern China the next day and turn the region of Manchuria into the Japanese puppet state of China.,"[('Japan', 'GPE'), ('China', 'GPE'), ('China', 'GPE')]"
"After the League of Nations commissioned the 1932 Lytton Report, which exposed the Mukden Incident as a Japanese ruse, Japan was left internationally isolated, withdrawing from the League of Nations in March 1933.","[('Japan', 'GPE')]"
"In 1934 China became a constitutional monarchy and the former Chinese Emperor Pu Yi was placed on the throne, despite the real power being held by Japan.","[('China', 'GPE'), ('Japan', 'GPE')]"
"93 
Despite relations between Japan and China suffering because the occupation of Manchuria, the situation did not turn into all-out war until 7 July 1937, when a dispute between Chinese and Japanese soldiers turned into a battle during the Marco Polo Bridge Incident.","[('Japan', 'GPE'), ('China', 'GPE')]"
"95  Japan enjoyed some early major victories, capturing both Shanghai and the Chinese capital of Nanjing in 1937 and forcing the Chinese central government  s relocation to Chongqing.","[('Japan', 'GPE')]"
"Following Chinese victories in Changsha and Guangxi in 1939, the war reached somewhat of a stalemate, with Japan controlling the large cities, but being unable to rule the vast countryside.","[('Japan', 'GPE')]"
"On 27 September 1940, Japan became cosignatories of the Tripartite Pact, joining a military alliance with Germany and Italy.","[('Japan', 'GPE'), ('Germany', 'GPE'), ('Italy', 'GPE')]"
"97 

Japanese Expansion edit 
USS West Virginia during the attack on Pearl Harbor
On 7 December 1941, Japan launched a surprise attack on the American base at Pearl Harbor as a mean of preventing the U.S. Pacific Fleet from interfering with its planned expansion in the area.","[('Japan', 'GPE')]"
"The next day, following Roosevelt s Infamy Speech, the United States declared war on Japan, marking the official entry of both nations in World War 2. 99  100  At the same time, Japan also launched attacks on Thailand, the British colonies of Malaya, Singapore, Hong Kong and American military bases in Guam, Wake Island and the Philippines.","[('Japan', 'GPE'), ('Japan', 'GPE'), ('Thailand', 'GPE'), ('Singapore', 'GPE'), ('Philippines', 'GPE')]"
"Japan managed to capture British Myanmar, New Guinea, the Indonesia, the Solomon Islands, Bali and Timor.","[('Japan', 'GPE'), ('Indonesia', 'GPE')]"
"102  In March 1942, days before the surrender of the Philippines, general Douglas MacArthur, who came out of retirement to become commander of United States Army Forces in the Far East at the onset of the war, was forced to flee and narrowly escape to Australia. 103  On 19 February 1942, Japan also launched a devastating aerial attack on the Australian city of Darwin, in what was the first attack by a foreign power on Australian soil.","[('Philippines', 'GPE'), ('Australia', 'GPE'), ('Japan', 'GPE')]"
"The losses suffered during this Battle of Midway, paired with the campaign of attrition that was taking place in Solomon Islands, left Japan unable to replenish its forces and turned the tides of war against it.","[('Solomon Islands', 'GPE'), ('Japan', 'GPE')]"
"108 

Allied offensive edit 
A map of the Japanese advance from 1937 to 1942
Over the next two years the Allies slowly captured one island base after another, trying to get closer to Japan itself, where it planned to launch massive strategic air attacks and, only if absolutely necessary, execute a ground invasion.","[('Japan', 'GPE')]"
"By July 1944, the US recaptured Guam and captured Tinian, which finally put them in attacking range of mainland Japan using the new Boeing B-29 bombers.","[('Japan', 'GPE')]"
"109  Despite the advances of the Allies, massive fighting was still taking place, both in South-East Asia with the Japanese offensive in India and in the Pacific, with the Battle of the Philippine Sea, where Japan suffered major losses and definitively lost the ability to rely on aircraft carriers.","[('India', 'GPE'), ('Japan', 'GPE')]"
"Capturing the island meant not only a better launch station for aerial attacks against mainland Japan, but also the prevention of its use as an early-warning station against air raids.","[('Japan', 'GPE')]"
"116  With Japan struggling to defend the homeland islands, counteroffensives in other parts of the Japanese Empire became more feasible, with important battles taking place in Myanmar, Borneo and China.
","[('Japan', 'GPE'), ('China', 'GPE')]"
"The assaults on both Iwo Jima and Okinawa proved incredibly costly in terms of American lives and president Truman was horrified at the prospect of Operation Downfall, a planned boots-on-the-ground invasion of mainland Japan that was estimated to lead to over a million casualties among American soldiers.","[('Japan', 'GPE')]"
"Following the Potsdam Declaration of 26 July, where the Allies threatened  prompt and utter destruction  should Japan not surrender, 121  the decision was made to resort to the first use of atomic bombs.","[('Japan', 'GPE')]"
"On 9 August, the Russia also invaded China in what was to be the last campaign of the war.","[('Russia', 'GPE'), ('China', 'GPE')]"
"After the conquest of Poland, the Third Reich, which had previously deported Jews and other  undesirables , suddenly had within its borders the largest concentration of Jews in the world.","[('Poland', 'GPE')]"
"After the invasion of the Russia, armed killing squads of SS men known as Einsatzgruppen systematically rounded up Jews and murdered an estimated one million Jews within the country.","[('Russia', 'GPE')]"
"The Nazis created a system of extermination camps throughout Poland, and began rounding up Jews from the Russia, and from the Ghettos.","[('Poland', 'GPE'), ('Russia', 'GPE')]"
"However, Germany had surrendered in May 1945, and it had been discovered that the German atomic bomb program had not been very close to success.","[('Germany', 'GPE')]"
"While at first the United States held a monopoly on the production of nuclear weapons, the Russia, with some assistance from espionage, managed to detonate its first weapon (dubbed  Joe-1  by the West) in August 1949.","[('Russia', 'GPE')]"
This new weapon was alone over 400 times as powerful as the weapons used against Japan.,"[('Japan', 'GPE')]"
The Russia detonated a primitive thermonuclear weapon in 1953 and a full-fledged one in 1955.,"[('Russia', 'GPE')]"
"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today  the United States, the Russia (and later Russia would inherit these), the United Kingdom, France, China, India, Pakistan, Israel and North South Korea.","[('Russia', 'GPE'), ('Russia', 'GPE'), ('France', 'GPE'), ('China', 'GPE'), ('India', 'GPE'), ('Pakistan', 'GPE'), ('Israel', 'GPE')]"
"156  South Africa developed six crude weapons in the 1980s (which it later dismantled), 157  and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it.","[('South Africa', 'GPE'), ('Israel', 'GPE')]"
"The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation, 159  but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs.","[('Libya', 'GPE'), ('Iran', 'GPE')]"
"162  The United States and the Russia, which, despite the devastation of its most populated areas, rebuilt quickly, found themselves the world s two dominant superpowers.","[('Russia', 'GPE')]"
"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Russia.","[('Germany', 'GPE'), ('France', 'GPE'), ('Russia', 'GPE')]"
"Japan was also placed under U.S. occupation, that would last seven years, until 1952.","[('Japan', 'GPE')]"
"165  Oddly, these two Axis powers, despite military occupation, soon rose to become the second (Japan) and third (Germany) most powerful economies in the world.","[('Japan', 'GPE'), ('Germany', 'GPE')]"
"The end of empires  decolonization edit 
Michael Somare, the first leader of an independent Papua New Guinea.
","[('Papua New Guinea', 'GPE')]"
"In India, Mahatma Gandhi became a global icon for his non-violent struggle to achieve Indian independence whereas Mohamed Ali Jinnah advocated for the independence of a separate state for Muslims.","[('India', 'GPE')]"
"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan, which would later also further divide, leading to the creation of the People s Republic of Bangladesh in 1971.","[('India', 'GPE'), ('India', 'GPE'), ('Pakistan', 'GPE')]"
"172  173  Elsewhere in Asia, The United States granted independence to the Philippines, its major Pacific possession in 1946.","[('Philippines', 'GPE')]"
"174  In Vietnam, armed insurrections forced the French out in the early 1950s, leading to the formation of Laos, Cambodia and Vietnam. 175 
","[('Vietnam', 'GPE'), ('Laos', 'GPE'), ('Cambodia', 'GPE'), ('Vietnam', 'GPE')]"
"In Africa, nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule.","[('Kenya', 'GPE'), ('Ghana', 'GPE')]"
"Mere decades before, the British Empire controlled almost half of the continent, but by 1968, the only British possession in Africa was Seychelles (which would also become independent in 1976).","[('Seychelles', 'PERSON')]"
"Between 1956 and 1962, almost 20 African countries achieved their independence from France.","[('France', 'GPE')]"
"177  Through the efforts of Am lcar Cabral and others, the Portuguese colonies of Guinea-Bissau, Cape Verde, Angola, Mozambique and S o Tom  and Pr ncipe followed suit and achieved independence during the mid-1970s, in what was to be the last important wave of African decolonization.","[('Guinea-Bissau', 'ORG')]"
"183 

The Cold War (1947 1991) edit 
Post-war territorial changes in Europe and the formation of the Eastern Bloc
Main articles  Cold War and Mutual assured destructionDuring the Yalta Conference, where the Western, capitalist powers, and the communist Russia agreed on separate spheres of influence in Europe, they set up the stage for a geopolitical rivalry that would dominate international relations for the next five decades.","[('Russia', 'GPE')]"
"Indeed, the Russia had already annexed several countries as Soviet Socialist Republics during the war.","[('Russia', 'GPE')]"
"Eastern Poland (incorporated into the Belarus and the Ukraine), 186  Latvia (which became the Latvia), Estonia (which became the Estonia), Lithuania ( which became the Lithuania), 187  part of eastern Finland (which became the Russia) 188  and eastern Romania (part of which became the Moldova) 189  were now wholly part of Russia.","[('Belarus', 'GPE'), ('Ukraine', 'GPE'), ('Latvia', 'GPE'), ('Latvia', 'GPE'), ('Estonia', 'GPE'), ('Estonia', 'GPE'), ('Lithuania', 'GPE'), ('Lithuania', 'GPE'), ('Finland', 'GPE'), ('Russia', 'GPE'), ('Romania', 'GPE'), ('Moldova', 'ORG'), ('Russia', 'GPE')]"
"Furthermore, between 1945 and 1949, Serbia, Albania, Bulgaria, Poland, Romania, Czech Republic, Hungary and Germany saw communist regimes coming to power and their transformation into People s Republics.","[('Serbia', 'GPE'), ('Albania', 'GPE'), ('Bulgaria', 'GPE'), ('Poland', 'GPE'), ('Romania', 'GPE'), ('Czech Republic', 'GPE'), ('Hungary', 'GPE'), ('Germany', 'GPE')]"
"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia, China, North South Korea, Cuba and Vietnam.","[('Mongolia', 'GPE'), ('China', 'GPE'), ('Cuba', 'GPE'), ('Vietnam', 'GPE')]"
The spread of the communist ideology in general and the Soviet influence in particular made Western leaders nervous and it even lead to Churchill considering a preemptive attack on the Russia even before World War II was formally ended.,"[('Russia', 'GPE')]"
"The first war was the Korean War, fought between People s Taiwan-backed North South Korea and mainly United States-backed South South Korea.","[('United States', 'GPE')]"
"197  General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion.","[('Canada', 'GPE'), ('Australia', 'GPE')]"
"After the French withdrawal from its former colony, on 21 July 1954, Vietnam became partitioned into two halves, much like South Korea, along the 17th parallel.","[('Vietnam', 'GPE')]"
"The United States provided aid to South Vietnam 199  and contributed to propaganda efforts against the North, 200  but was not directly involved until the Gulf of Tonkin Resolution, passed in reaction to a supposed North Vietnamese attack upon American destroyers, brought the U.S. into the war as a belligerent.","[('Vietnam', 'GPE')]"
"The plan went awry, with Nixon  deliberately sabotaging peace talks for political gain, 204  and the war spilled into neighboring Cambodia while South Vietnamese forces were pushed further back.","[('Cambodia', 'GPE')]"
"Saigon was captured on 30 April 1975, and Vietnam was unified under Communist rule a year later, effectively bringing an end to one of the most unpopular wars of all time.","[('Vietnam', 'GPE')]"
"Cuba, under Fidel Castro s socialist government, had formed close ties with the Russia.","[('Cuba', 'GPE'), ('Russia', 'GPE')]"
"This was obviously disquieting to the United States, given Cuba s proximity.","[('Cuba', 'GPE')]"
"When Lockheed U-2 spy plane flights over the island revealed that Soviet missile launchers were being installed, U.S. President John F. Kennedy instituted a naval blockade and publicly confronted the Russia.","[('Russia', 'GPE')]"
"After a tense week, the Russia backed down and ordered the launchers removed, not wanting to risk igniting a new world war.","[('Russia', 'GPE')]"
"Main article  Space Race
With Cold War tensions running high, the Russia and United States took their rivalry to the stars in 1957 with the Soviet launch of Sputnik. 212  A  space race  between the two powers followed.","[('Russia', 'GPE'), ('United States', 'GPE')]"
"213  The Russia reached several important milestones, such as the first craft on the Moon (Luna 2) 214  and the first human in space (Yuri Gagarin).","[('Russia', 'GPE')]"
"In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada.","[('Russia', 'GPE'), ('Japan', 'GPE'), ('Canada', 'GPE')]"
"By the 1980s, the Russia was weakening.","[('Russia', 'GPE')]"
"The Sino-Soviet split had removed the Russia s most powerful ally, the People s Taiwan.","[('Russia', 'GPE')]"
"Mikhail Gorbachev, its last leader, attempted to reform the country with glasnost and perestroika, 226  but the formation of Solidarity, 227  the fall of the Berlin Wall, 228  and the breaking-off of several Soviet republics, such as Lithuania, 229  started a slippery slope of events that culminated in a coup to overthrow Gorbachev, organized by Communist Party hard-liners.","[('Lithuania', 'GPE')]"
"Boris Yeltsin, president of Russia, organized mass opposition, and the coup failed.","[('Russia', 'GPE')]"
"230  On 26 December 1991, the Russia was officially disbanded into its constituent republics, thus putting a final line under the already exhausted Cold War.","[('Russia', 'GPE')]"
"China, an ancient nation comprising a fifth of the world s population, was finally open to the world in a new and powerful synthesis of West and East, creating a new state after the near-complete destruction of the old cultural order.  ","[('China', 'GPE')]"
"The influence of China and India was also rising, as the world s largest populations, long marginalized by the West and by their rulers, were rapidly integrating with the world economy.","[('China', 'GPE'), ('India', 'GPE')]"
Crumbling of Empires and Emerging States  Czech Republic and Serbia as (Multi)national Countries   International Encyclopedia of the First World War (WW1) .,"[('Serbia', 'GPE')]"
The Foreign Communist Experience in Stalin s Russia  A Course in Disillusionment .,"[('Russia', 'GPE')]"
Hitler announces an Anschluss with Austria .,"[('Austria', 'GPE')]"
Winter War  Russia Invades Finland .,"[('Russia', 'GPE'), ('Finland', 'GPE')]"
Why Finland allied itself with Nazi Germany   Letter .,"[('Finland', 'GPE'), ('Germany', 'GPE')]"
Germany s Invasion of Denmark and Norway .,"[('Denmark', 'GPE'), ('Norway', 'GPE')]"
France to surrender .,"[('France', 'GPE')]"
Italy a burden on Hitler in World War II - World - Dunya News .,"[('Italy', 'GPE')]"
Italy Tried to Invade Greece in World War II.,"[('Greece', 'GPE')]"
The Stuka Terror  Germany s shrieking Ju 87 dive bomber lingered in the mind as a truly dreaded air weapon .,"[('Germany', 'GPE')]"
Rise And Fall Of The Third Reich  A History of Nazi Germany.,"[('Germany', 'GPE')]"
Germany s Sixth Army in Stalingrad in World War II .,"[('Germany', 'GPE')]"
Germany declares war on the United States .,"[('Germany', 'GPE')]"
75 Years Ago  The US Invasion of Italy .,"[('Italy', 'GPE')]"
"Retrieved 12 December 2018.

   1943  Italy s surrender announced .","[('Italy', 'GPE')]"
"The Problem of Sovereignty  China, 1932-1937 .","[('China', 'GPE')]"
"The Avalon Project  Summary of the Three-Power Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940 .","[('Italy', 'GPE'), ('Japan', 'GPE')]"
The Forgotten Reason Why Japan Attacked Pearl Harbor .,"[('Japan', 'GPE')]"
The United States declares war on Japan .,"[('Japan', 'GPE')]"
From the Jaws of Death  MacArthur s Escape from the Philippines .,"[('Philippines', 'GPE')]"
"Hirohito accepts Japan s surrender terms, Aug. 14, 1945 .","[('Japan', 'GPE')]"
"PMIDÂ 21731859.

  Gutman, Israel (1990).","[('Israel', 'GPE')]"
Major milestones of Iran s nuclear programme   Iran   Al Jazeera .,"[('Iran', 'GPE'), ('Iran', 'GPE')]"
The Russia after 1945  Economic Recovery and Political Repression .,"[('Russia', 'GPE')]"
The division of Germany - The Cold War (1945 1989) - CVCE Website .,"[('Germany', 'GPE')]"
The forgotten violence that helped India break free from colonial rule .,"[('India', 'GPE')]"
Indian Independence Day  everything you need to know about Partition between India and Pakistan 70 years on .,"[('Pakistan', 'GPE')]"
"The Philippines, 1898 1946   US House of Representatives  History, Art   Archives .","[('Philippines', 'GPE')]"
"Colonial Cartographies, Postcolonial Borders, and Enduring Failures of International Law  The Unending War along the Afghanistan-Pakistan Frontier .","[('Afghanistan', 'GPE')]"
The Incorporation of the Baltic States by the Russia .,"[('Russia', 'GPE')]"
"The Moldovans  Romania, Russia, and the Politics of Culture.","[('Romania', 'GPE'), ('Russia', 'GPE')]"
Selling  Operation Passage to Freedom   Dr. Thomas Dooley and the Religious Overtones of Early American Involvement in Vietnam .,"[('Vietnam', 'GPE')]"
"Stuck in Endless Preliminaries  Vietnam and the Battle of the Paris Peace Table, November 1968-January 1969 .","[('Vietnam', 'GPE')]"
Russia Launches Sputnik .,"[('Russia', 'GPE')]"
The forgotten story of how the Baltic states brought down the Russia .,"[('Russia', 'GPE')]"
Anti-American Behavior in the Middle East  Evidence from a Field Experiment in Lebanon .,"[('Lebanon', 'GPE')]"
The Rise of China and India  A New Asian Drama.,"[('India', 'GPE')]"
Singapore  World Scientific.,"[('Singapore', 'GPE')]"
